asset_id,drive_file_id,filename,mime_type,size_bytes,rarity,image_uri
"0001","1_-CyVs6pbRudNQCllRuaPaTlujveradX","Three-headed_wolf_running_in_mist_202608150841.jpeg","image/jpeg","825643","Common",""
"0002","1_1B8Qkx4sTqgO8eyO4rdzw57WiEntZ0D","Eyes_reflecting_fire_and_smoke_202608150833.jpeg","image/jpeg","940440","Common",""
"0003","1_1xEq4njuSxpnwcs4WMMQ7K6GO-jsvl_","Nicolas_looking_at_golden_dawn_202608150837.jpeg","image/jpeg","966221","Common",""
"0004","1_BU-ksK5FfzbyqAsyBaXApWrFIotaynu","Three-headed_wolf_running_in_mud_202608150830.jpeg","image/jpeg","746164","Common",""
"0005","1_CjKatIoGbN-OGk27HG2cBx-BGMCO_Un","Pilgrim_poet_touching_dog_202608101042.jpeg","image/jpeg","745736","Common",""
"0006","1_CRemAV1leaLML5trh2YQjokUJZmRQ-g","Three-headed_wolf_howling_in_river_202608150834.jpeg","image/jpeg","708291","Common",""
"0007","1_ElFGz-FVA1ardy-WMye5IQNRRnrAzM9","Factory_shadows_by_river_202608150840.jpeg","image/jpeg","906467","Common",""
"0008","1_FLZQ2hl6i1UTAQcb3tT-JtSk-8i3aMS","Creature_head_in_mist_202608101042.jpeg","image/jpeg","755643","Common",""
"0009","1_gsL_0vKduQ_xJnBVkYtUeOsIkSrfMtP","Volcanic_lava_flowing_through_swamp_202608150831.jpeg","image/jpeg","910499","Common",""
"0010","1_h3cA3GBJHB8rrgAfIrTf3hzkolXpAn6","Storyteller_sharing_legends_by_l…_202608150834.jpeg","image/jpeg","779262","Common",""
"0011","1_H9DomRqQG088JNR2I8_3cyMTVN9eGUy","Fireplace_glowing_inside_fisherm…_202608150830.jpeg","image/jpeg","930181","Common",""
"0012","1_hyHEnzYRsRKDezcAOXfyF-NMlFxkk0c","Stone_bell_tower_in_floodwater_202608101042.jpeg","image/jpeg","614595","Common",""
"0013","1_iPnV7uiOSF50broq0pgUt0hBZ12lY6c","Man_sitting_on_boat_deck_202608150846_2.jpeg","image/jpeg","905991","Common",""
"0014","1_k7OQ1pO_d7ZMZRX8IMlMKBzt7bb5n5b","Watchtower_scanning_misty_river_202608150830.jpeg","image/jpeg","844546","Common",""
"0015","1_KBeqYJwhXfGewvneI5eezotmulmsI3M","Charred_tree_trunks_in_fire_202608150845.jpeg","image/jpeg","835971","Common",""
"0016","1_KxboedqY3cr6zqwNfiX0qkgI9wRX0zv","Person_staring_at_fire_202608150830.jpeg","image/jpeg","780344","Common",""
"0017","1_nHcjDsHE8b7AQ-CGGliaw9YFeLh6gqv","Lightning_striking_tree_in_wetlands_202608150838.jpeg","image/jpeg","717146","Common",""
"0018","1_O8dKDYq0wUN8lI1f-17VOw_yLHkYiwH","Villagers_bartering_at_river_market_202608101047.jpeg","image/jpeg","949703","Common",""
